aX,aY,aZ,gX,gY,gZ
0.328,0.189,0.947,5.920,2.014,8.362
0.302,0.227,0.894,11.047,4.578,6.409
0.272,0.222,0.823,8.362,8.118,5.737
0.261,0.202,0.785,2.014,9.521,6.958
0.245,0.211,0.793,-2.075,8.789,7.996
0.258,0.207,0.817,-3.174,4.150,6.775
0.280,0.183,0.851,-1.587,-1.160,3.845
0.287,0.185,0.865,1.038,-2.625,2.319
0.290,0.180,0.876,4.028,-1.770,1.892
0.311,0.169,0.900,6.165,-0.671,1.526
0.317,0.173,0.912,7.690,1.526,2.014
0.307,0.178,0.922,8.179,4.578,2.869
0.322,0.178,0.917,9.094,5.615,2.808
0.312,0.188,0.902,9.521,6.348,2.686
0.296,0.170,0.869,8.911,6.958,2.502
0.285,0.162,0.830,7.446,5.859,2.441
0.283,0.164,0.815,6.165,2.869,2.441
0.304,0.171,0.845,3.052,-0.671,1.892
0.341,0.164,0.912,-2.136,-3.174,1.770
0.379,0.131,0.964,-7.568,-4.517,1.709
0.401,0.095,1.011,-8.545,-3.845,1.343
0.414,0.074,1.039,-4.272,-2.563,0.916
0.430,0.079,1.045,3.357,-1.343,-0.244
0.412,0.103,1.029,11.963,1.831,-1.160
0.391,0.112,0.998,17.273,5.493,-1.709
0.379,0.101,0.966,18.677,7.080,-2.319
0.365,0.087,0.948,17.883,8.362,-1.892
0.366,0.076,0.936,15.320,8.911,-1.160
0.358,0.077,0.931,12.146,9.155,-0.122
0.343,0.091,0.907,7.812,9.033,1.343
0.327,0.101,0.896,4.517,7.690,2.075
0.321,0.109,0.885,1.038,6.226,2.747
0.321,0.108,0.879,-2.258,5.371,3.235
0.328,0.107,0.875,-3.967,4.456,2.502
0.325,0.092,0.872,-4.272,3.784,2.075
0.333,0.098,0.871,-3.296,3.357,1.831
0.323,0.106,0.867,-0.549,3.296,1.953
0.310,0.118,0.859,3.967,3.113,1.648
0.315,0.131,0.852,7.385,1.343,0.854
0.316,0.145,0.838,8.545,0.854,0.610
0.313,0.154,0.820,6.531,1.465,1.099
0.313,0.167,0.798,4.028,1.892,1.831
0.305,0.161,0.789,2.319,2.075,1.709
0.316,0.152,0.803,1.831,0.305,1.160
0.325,0.151,0.826,3.174,-1.953,0.000
0.341,0.136,0.865,6.042,-3.296,-0.916
0.352,0.147,0.885,7.385,-3.174,-0.488
0.358,0.151,0.900,8.362,-1.892,-0.427
0.362,0.138,0.897,8.789,0.183,-0.793
0.368,0.146,0.876,7.996,1.404,-0.061
0.366,0.135,0.865,7.874,2.991,-0.488
0.365,0.129,0.860,7.996,2.441,-0.732
0.367,0.123,0.868,7.080,1.465,-0.610
0.369,0.126,0.884,5.432,0.488,-0.488
0.375,0.130,0.908,4.211,-0.427,-0.427
0.373,0.119,0.926,2.991,0.000,-0.854
0.367,0.102,0.935,1.343,0.854,-1.038
0.356,0.081,0.927,-0.488,2.563,-0.854
0.338,0.066,0.911,-1.038,3.235,-0.122
0.337,0.051,0.907,-0.549,2.319,0.366
0.340,0.069,0.917,0.610,0.366,1.221

1.435,0.304,-0.894,-41.626,-60.486,-33.569
1.503,0.286,-0.908,-58.655,-77.148,-34.180
1.591,0.287,-0.945,-70.618,-94.360,-35.767
1.712,0.327,-1.020,-77.393,-107.788,-40.100
1.864,0.336,-1.153,-80.505,-120.483,-46.631
2.031,0.299,-1.402,-76.904,-133.850,-51.208
2.209,0.264,-1.583,-67.871,-150.452,-51.880
2.234,0.342,-1.677,-58.411,-170.471,-53.223
2.049,0.431,-1.709,-58.350,-198.181,-61.890
1.742,0.471,-1.750,-74.951,-231.140,-74.768
1.317,0.386,-1.658,-108.032,-265.747,-80.383
1.038,0.188,-1.418,-146.362,-298.401,-71.228
