aX,aY,aZ,gX,gY,gZ
-2.233,1.455,-0.037,121.094,-19.592,-34.424
-2.182,1.567,0.053,117.737,-37.354,-47.546
-2.025,1.688,0.077,113.342,-55.908,-56.213
-1.810,1.791,0.106,110.107,-89.417,-63.965
-1.620,1.794,0.151,106.079,-110.107,-69.580
-1.438,1.792,0.190,101.440,-121.460,-75.623
-1.176,1.790,0.212,98.267,-129.272,-84.778
-0.789,1.871,0.231,96.008,-139.404,-93.506
-0.346,1.998,0.288,92.590,-151.062,-99.304
0.052,2.056,0.336,86.060,-155.701,-99.915
0.500,2.072,0.411,77.881,-154.236,-97.473
0.910,2.070,0.499,72.021,-155.518,-90.759
1.265,2.024,0.584,64.087,-150.940,-78.308
1.542,1.958,0.687,55.298,-142.883,-65.063
1.749,1.883,0.772,46.082,-130.920,-52.124
1.822,1.790,0.829,32.898,-114.380,-34.668
1.821,1.714,0.822,16.907,-102.722,-15.015
1.731,1.615,0.728,-0.305,-96.436,9.033
1.552,1.482,0.586,-15.564,-83.618,29.846
1.308,1.349,0.426,-26.672,-65.186,41.504
1.092,1.237,0.280,-32.227,-48.401,43.152
0.931,1.140,0.163,-33.508,-31.616,39.734
0.765,1.062,0.066,-32.349,-14.404,35.339
0.613,0.998,0.007,-30.212,-2.014,31.738
0.453,0.943,-0.028,-27.527,7.385,29.907
0.288,0.902,-0.036,-25.513,14.343,28.564
0.143,0.870,-0.031,-26.123,18.250,26.794
0.005,0.843,-0.057,-29.236,19.226,25.208
-0.133,0.826,-0.110,-32.166,19.592,22.888
-0.241,0.817,-0.161,-33.691,18.555,17.883
-0.308,0.809,-0.200,-32.959,18.250,11.108
-0.332,0.811,-0.217,-29.541,19.775,2.258
-0.315,0.832,-0.193,-24.597,21.118,-6.348
-0.314,0.836,-0.166,-20.081,22.522,-13.733
-0.282,0.839,-0.151,-16.357,21.545,-19.470
-0.244,0.861,-0.142,-12.390,18.066,-22.705
-0.208,0.878,-0.136,-9.155,13.611,-23.804
-0.191,0.889,-0.114,-6.592,11.230,-23.315
-0.199,0.897,-0.090,-4.211,10.193,-23.193
-0.167,0.917,-0.083,-3.723,8.728,-24.170
-0.135,0.925,-0.072,-2.991,8.057,-24.536
-0.102,0.949,-0.059,-2.991,7.324,-24.292
-0.084,0.968,-0.047,-3.601,7.141,-23.132
-0.074,0.974,-0.046,-4.700,7.263,-21.484
-0.058,0.977,-0.053,-5.188,6.836,-19.226
-0.042,0.981,-0.052,-4.395,4.578,-16.479
-0.034,0.983,-0.049,-3.357,1.282,-13.245
-0.042,0.987,-0.039,-3.113,0.610,-10.742
-0.041,0.989,-0.034,-3.601,1.282,-9.338

-1.250,1.298,-0.270,-2.930,-59.875,11.536
-1.224,1.411,-0.312,1.709,-73.181,13.550
-1.194,1.536,-0.332,6.104,-85.510,15.442
-1.160,1.648,-0.369,8.057,-91.614,17.334
-1.090,1.756,-0.373,10.071,-96.069,19.531
-1.036,1.876,-0.279,13.428,-107.727,24.170
-0.903,2.020,-0.149,11.169,-119.568,27.405
-0.763,2.146,-0.089,-1.038,-131.775,30.334
-0.554,2.252,-0.048,-12.268,-139.587,30.212
-0.350,2.333,0.000,-19.409,-139.404,24.353
-0.094,2.401,0.053,-25.208,-136.475,12.024
0.234,2.455,0.179,-23.315,-127.808,-2.808
0.526,2.504,0.474,-15.930,-117.126,-14.954
0.831,2.493,0.765,-13.916,-112.244,-21.729
1.110,2.410,0.984,-22.278,-108.521,-26.978
1.341,2.246,1.134,-34.607,-101.501,-30.701
1.575,2.070,1.210,-53.650,-97.290,-33.936
1.748,1.857,1.173,-75.500,-91.553,-32.776
1.856,1.613,1.063,-96.313,-82.336,-30.579
1.905,1.382,0.890,-112.610,-76.782,-27.649
1.910,1.122,0.686,-121.521,-64.026,-26.855
1.893,0.896,0.526,-120.056,-50.537,-26.672
1.848,0.707,0.441,-113.464,-35.889,-28.625
1.807,0.542,0.348,-106.934,-14.160,-32.898
1.816,0.418,0.308,-101.440,6.775,-37.048
1.793,0.346,0.420,-100.525,25.269,-36.682
1.695,0.225,0.364,-110.107,45.410,-32.104
1.628,0.105,0.204,-120.178,56.519,-24.963
1.513,0.006,0.092,-118.774,60.059,-11.536
1.308,-0.058,0.072,-108.093,63.110,1.831
1.117,-0.112,0.076,-93.445,69.702,10.742
0.999,-0.192,0.141,-77.820,78.613,15.625
0.890,-0.254,0.211,-61.646,85.510,19.104
0.794,-0.303,0.262,-47.485,86.792,24.902
0.708,-0.296,0.307,-42.480,90.210,26.917
0.553,-0.313,0.303,-46.875,109.009,23.499
0.311,-0.403,0.277,-51.819,128.601,24.475
0.166,-0.453,0.221,-50.842,138.123,28.442
0.016,-0.474,0.211,-45.654,135.132,37.781
-0.264,-0.530,0.252,-37.598,138.794,48.401
-0.571,-0.502,0.279,-32.898,148.499,52.002
-0.866,-0.500,0.287,-32.043,151.184,46.448
-1.056,-0.497,0.196,-31.189,151.123,34.607
-1.118,-0.500,0.048,-27.283,153.809,17.456
-1.077,-0.460,-0.078,-17.883,157.043,-2.869
-0.954,-0.381,-0.135,-4.639,162.292,-21.484
-0.842,-0.294,-0.092,8.789,169.617,-34.790
-0.830,-0.221,-0.033,19.470,172.485,-38.330
-0.845,-0.174,0.029,25.330,164.795,-34.790
-0.884,-0.141,0.022,25.757,151.733,-28.625
-0.978,-0.122,-0.057,22.949,142.334,-21.667
-1.079,-0.115,-0.194,21.729,136.902,-18.433
-1.070,-0.065,-0.299,27.588,131.226,-21.118
-1.042,0.033,-0.334,39.124,130.188,-24.658
-1.054,0.140,-0.361,50.659,131.287,-24.231
-1.157,0.230,-0.378,60.852,125.183,-16.907
-1.289,0.270,-0.350,71.472,110.229,-6.287
-1.406,0.360,-0.301,81.970,94.238,1.160
-1.575,0.466,-0.279,87.708,81.177,5.737
-1.747,0.583,-0.267,90.332,73.792,8.484
-1.884,0.757,-0.286,92.590,66.345,6.958
-2.016,0.930,-0.332,93.140,51.514,3.357
-2.141,1.070,-0.373,93.872,32.837,2.014
-2.288,1.143,-0.396,97.473,11.658,-0.549
-2.304,1.214,-0.363,106.262,-10.803,-9.827
-2.250,1.250,-0.234,116.699,-28.015,-26.001
-2.148,1.341,-0.101,124.268,-35.034,-43.396
-1.977,1.430,0.026,126.831,-47.485,-59.814
-1.772,1.569,0.053,126.343,-64.697,-72.021
-1.476,1.713,0.008,122.803,-85.205,-80.383
-1.148,1.771,0.002,117.493,-102.417,-84.961
-0.853,1.787,0.084,116.272,-115.295,-84.045
-0.546,1.783,0.257,116.028,-127.930,-81.848
-0.253,1.819,0.415,113.281,-134.521,-78.979
0.050,1.902,0.505,106.018,-134.888,-75.989
0.297,1.947,0.535,93.689,-132.507,-73.242
0.550,2.000,0.498,77.881,-130.188,-68.665
0.799,2.060,0.431,62.256,-134.094,-60.913
0.984,2.010,0.398,49.866,-133.667,-52.979
1.159,1.964,0.455,44.312,-124.146,-49.011
1.285,1.905,0.600,44.556,-108.704,-47.302
1.384,1.849,0.740,42.358,-90.210,-44.861
1.443,1.711,0.874,33.447,-74.219,-35.583
1.382,1.583,0.887,14.648,-65.857,-21.179
1.295,1.422,0.738,-9.766,-55.664,-8.484
1.198,1.244,0.503,-30.762,-45.959,4.150
1.042,1.117,0.289,-42.114,-35.828,16.724
0.841,1.016,0.123,-46.021,-30.396,28.687
0.627,0.937,0.004,-46.448,-25.391,35.645
0.461,0.880,-0.092,-43.579,-15.442,36.194
0.340,0.840,-0.143,-38.818,-5.432,31.860
0.243,0.824,-0.160,-33.508,3.418,26.978
0.153,0.807,-0.158,-28.442,9.277,23.743
0.037,0.798,-0.105,-24.536,10.681,22.888
-0.074,0.800,-0.070,-23.682,12.268,20.203
-0.160,0.795,-0.098,-26.733,14.526,16.724
-0.220,0.802,-0.142,-29.358,13.672,13.794
-0.280,0.806,-0.177,-28.381,9.216,11.047
-0.322,0.818,-0.196,-24.841,7.019,5.920
-0.333,0.824,-0.201,-19.836,7.935,-2.502
-0.292,0.843,-0.184,-13.000,10.132,-12.451
-0.248,0.861,-0.141,-6.165,10.803,-19.409
-0.177,0.895,-0.094,-1.221,8.972,-23.254
-0.132,0.898,-0.026,1.953,7.446,-24.353
-0.069,0.927,0.013,2.014,7.385,-23.682
-0.037,0.950,0.019,0.305,5.676,-21.179
-0.040,0.954,0.006,-2.258,2.502,-16.663
-0.066,0.961,-0.002,-3.540,-0.061,-13.062
-0.090,0.971,-0.011,-3.845,0.122,-13.123
-0.077,0.978,-0.020,-3.662,3.540,-15.198
-0.039,0.988,-0.013,-2.991,6.348,-16.785
-0.021,1.002,-0.009,-2.197,5.249,-15.137
-0.025,1.005,-0.007,-2.136,1.831,-11.230
-0.033,1.005,-0.013,-2.808,-0.061,-7.996
-0.043,1.005,-0.015,-3.601,1.038,-6.775
-0.048,0.999,-0.025,-5.005,1.892,-6.958
-0.050,1.000,-0.036,-6.226,2.808,-6.653
-0.058,0.999,-0.043,-7.019,1.404,-5.493
-0.066,0.999,-0.051,-7.446,1.221,-4.883

0.270,2.310,0.267,-25.024,-108.948,20.325
0.397,2.332,0.300,-37.170,-108.704,18.677
0.504,2.296,0.315,-45.715,-105.347,17.334
0.610,2.256,0.350,-53.467,-103.760,14.771
0.702,2.194,0.467,-56.396,-98.694,10.559
0.751,2.129,0.634,-61.340,-89.966,4.395
0.820,2.036,0.711,-74.219,-87.097,-1.038
0.859,1.874,0.678,-91.003,-88.562,-4.761
0.938,1.690,0.586,-102.234,-90.332,-8.057
1.018,1.503,0.527,-104.919,-84.229,-13.794
1.066,1.324,0.503,-104.858,-68.054,-22.705
1.142,1.161,0.535,-105.286,-48.157,-33.691
1.211,0.997,0.550,-107.544,-32.043,-43.335
1.279,0.839,0.545,-108.826,-16.907,-50.720
1.358,0.684,0.535,-108.215,-6.958,-54.199
1.420,0.523,0.527,-105.164,7.690,-56.152
1.447,0.387,0.497,-106.018,22.827,-57.922
1.418,0.224,0.459,-106.140,42.664,-59.265
1.472,0.103,0.394,-105.957,67.444,-62.866
1.516,-0.019,0.292,-106.995,82.214,-59.570
1.504,-0.132,0.229,-101.746,93.872,-48.767
1.440,-0.241,0.206,-94.177,104.614,-38.025
1.391,-0.319,0.181,-85.571,112.244,-27.466
1.289,-0.410,0.189,-75.378,125.549,-15.930
1.148,-0.457,0.176,-64.209,132.263,-2.747
0.979,-0.486,0.164,-51.819,139.587,10.254
0.797,-0.512,0.173,-43.213,141.846,23.865
0.572,-0.528,0.184,-35.583,146.851,35.156
0.257,-0.515,0.202,-29.358,151.062,46.204
-0.100,-0.538,0.241,-24.597,153.809,52.856
-0.412,-0.526,0.241,-19.226,153.809,53.772
-0.666,-0.505,0.172,-13.672,152.649,49.927
-0.851,-0.493,0.118,-6.592,152.405,44.434
-1.009,-0.449,0.099,2.747,152.405,36.255
-1.111,-0.385,0.052,10.315,159.912,24.414
-1.128,-0.356,0.001,15.503,166.382,9.827
-1.104,-0.307,-0.015,23.010,166.809,-1.465
-1.124,-0.273,-0.015,30.029,164.795,-7.751
-1.145,-0.195,-0.064,36.072,163.696,-12.146
