aX,aY,aZ,gX,gY,gZ
0.425,0.271,-1.349,-24.902,231.445,43.457
0.363,0.217,-1.390,-18.555,197.937,33.386
0.264,0.185,-1.354,-11.230,167.725,27.954
0.171,0.196,-1.307,-10.864,144.226,25.146
0.120,0.200,-1.301,-16.113,125.488,26.489
0.176,0.216,-1.316,-23.376,114.014,29.480
0.225,0.236,-1.297,-27.100,102.295,31.982
0.260,0.251,-1.302,-28.259,87.097,33.691
0.296,0.296,-1.320,-27.649,72.632,32.776
0.386,0.357,-1.332,-26.489,61.279,27.832
0.462,0.393,-1.308,-22.644,46.997,21.423
0.499,0.383,-1.220,-17.517,30.518,14.343
0.515,0.340,-1.093,-13.672,16.724,7.751
0.491,0.275,-0.972,-12.756,7.202,3.357
0.462,0.258,-0.873,-12.390,1.831,1.160
0.437,0.265,-0.812,-12.573,3.662,0.732
0.440,0.277,-0.803,-11.841,8.423,-0.244
0.467,0.275,-0.820,-9.033,14.648,-0.916
0.501,0.258,-0.836,-5.554,18.982,-1.404
0.525,0.234,-0.860,-3.113,21.484,-2.258
0.547,0.216,-0.887,-2.075,21.545,-2.686
0.567,0.201,-0.912,-2.747,18.799,-3.296
0.586,0.208,-0.907,-2.991,14.709,-3.601
0.591,0.219,-0.895,-5.188,9.216,-4.456
0.573,0.227,-0.878,-8.423,2.747,-5.798
0.551,0.226,-0.844,-10.132,-2.747,-6.348
0.518,0.221,-0.799,-9.094,-5.493,-5.798
0.494,0.205,-0.750,-8.484,-7.385,-4.395
0.472,0.199,-0.711,-6.042,-3.906,-2.075
0.470,0.207,-0.703,-4.211,0.549,0.183
0.490,0.218,-0.724,-2.258,7.324,1.953
0.515,0.229,-0.770,0.549,11.597,3.113
0.554,0.244,-0.814,2.930,13.977,3.235
0.578,0.246,-0.842,3.357,11.658,2.747
0.579,0.249,-0.851,1.831,7.263,2.380
0.564,0.249,-0.846,0.183,2.197,2.380
0.546,0.240,-0.839,-2.014,-2.197,2.625
0.525,0.233,-0.818,-4.456,-5.737,2.991
0.516,0.238,-0.781,-6.104,-6.775,2.991
